SEASON_ID,PLAYER_NAME,AGE,HEIGHT_IN,WEIGHT_LB,PTS,AST,REB,STL,BLK,TS_PCT,EFG_PCT,USG_PCT
2024-25,Pascal Siakam,30,80,245,22.3,3.7,7.6,1.0,0.6,0.5983043571581885,0.5748502994011976,0.3386150133967912
2019-20,Darius Garland,19,73,192,14.4,4.5,2.2,0.8,0.1,0.4994450610432852,0.4746376811594202,0.4048594000167088
2020-21,Darius Garland,20,73,192,18.9,6.6,2.6,1.3,0.1,0.5466219342896806,0.5186335403726707,0.4969245793154649
2021-22,Darius Garland,21,73,192,21.8,8.6,3.3,1.3,0.1,0.5741677201854194,0.5344827586206897,0.4120312984989534
2022-23,Darius Garland,22,73,192,21.9,7.9,2.7,1.3,0.1,0.5865652453396185,0.539156626506024,0.3902658054913854
2023-24,Darius Garland,23,73,192,19.5,7.1,2.9,1.4,0.1,0.5618948824343015,0.5251572327044025,0.4756098605601699
2024-25,Darius Garland,24,73,192,24.2,7.9,3.3,1.4,0.2,0.6001984126984127,0.5625,0.4253024620058167
2020-21,LaMelo Ball,19,79,180,19.7,7.7,7.4,2.0,0.4,0.5394304490690032,0.506060606060606,0.6384483483298123
2021-22,LaMelo Ball,20,79,180,22.4,8.5,7.4,1.8,0.4,0.5548949663099484,0.5188172043010753,0.413149469990029
2022-23,LaMelo Ball,21,79,180,23.8,8.6,6.6,1.3,0.3,0.5399274047186933,0.5097560975609756,0.8475140690194393
2023-24,LaMelo Ball,22,79,180,26.6,8.9,5.7,2.0,0.2,0.5604247429630879,0.516355140186916,1.7320816709089142
2024-25,LaMelo Ball,23,79,180,28.3,8.3,5.6,1.3,0.3,0.5355791067373202,0.4937499999999999,0.8561648253321967
2021-22,Alperen Sengun,19,83,243,16.7,4.5,9.5,1.4,1.6,0.5506462674756001,0.5,0.5294485568159175
2022-23,Alperen Sengun,20,83,243,18.4,4.8,11.2,1.2,1.2,0.5969374513366207,0.5601503759398496,0.3539518113398051
2023-24,Alperen Sengun,21,83,243,23.4,5.5,10.4,1.3,0.8,0.584182144997004,0.5549132947976879,0.4718908236930709
2024-25,Alperen Sengun,22,83,243,21.8,5.6,11.8,1.3,0.9,0.5445643485211831,0.502906976744186,0.3917912599842675
2021-22,Jalen Green,19,76,186,19.5,3.0,3.8,0.7,0.3,0.5459126539753638,0.5031055900621118,0.3982874001583076
2022-23,Jalen Green,20,76,186,23.3,3.9,3.9,0.8,0.2,0.5389526276831976,0.4840425531914893,0.3874165263180025
2023-24,Jalen Green,21,76,186,22.3,4.0,5.9,0.9,0.4,0.5424207044172019,0.5,0.3748902772997353
2024-25,Jalen Green,22,76,186,23.0,3.8,5.0,0.9,0.4,0.5429650613786591,0.5026041666666667,0.3625557721274872
2021-22,Evan Mobley,20,83,215,16.0,2.7,8.8,0.9,1.8,0.5511160099200881,0.5234375,0.3146306676932195
2022-23,Evan Mobley,21,83,215,16.9,3.0,9.4,0.8,1.6,0.5884401114206128,0.5674603174603176,0.2651766638688591
2023-24,Evan Mobley,22,83,215,18.4,3.8,11.0,1.1,1.7,0.6233062330623306,0.5961538461538461,0.4815497254637361
2024-25,Evan Mobley,23,83,215,21.9,3.8,11.0,1.0,1.9,0.6313422509225092,0.6026490066225165,0.3849924311056248
2021-22,Cade Cunningham,20,78,220,19.2,6.1,6.1,1.3,0.7,0.5032501572656741,0.4719101123595505,0.4715586321731422
2022-23,Cade Cunningham,21,78,220,21.5,6.5,6.7,0.9,0.6,0.4905092170104033,0.452970297029703,2.688124647987239
2023-24,Cade Cunningham,22,78,220,24.4,8.1,4.7,1.0,0.4,0.5443512404069248,0.5,0.5347341726292908
2024-25,Cade Cunningham,23,78,220,26.9,9.4,6.2,1.0,0.8,0.5656965006729475,0.5186915887850467,0.4836129918023451
2020-21,Desmond Bane,22,77,215,14.8,2.8,5.0,1.0,0.4,0.600259571706684,0.5847457627118644,0.3790109420798002
